District,Month,Rainfall (mm),Temperature (°C),Humidity (%),Year
Jagtial,February,8.49,44.0,97.0,2025
Medak,February,5.15,34.8,92.0,2015
Peddapalli,August,192.16,16.6,31.0,2018
Hyderabad,October,92.69,39.3,64.0,2016
Kamareddy,December,5.36,32.6,68.0,2021
Mahabubnagar,November,17.07,24.9,76.0,2016
Kamareddy,June,118.16,37.6,28.0,2022
Nirmal,November,18.47,42.6,73.0,2015
Sangareddy,May,31.06,34.1,71.0,2015
Karimnagar,April,16.41,26.9,90.0,2015
Nirmal,September,136.32,42.3,58.0,2025
Nagarkurnool,September,140.13,43.2,70.0,2021
Nizamabad,October,89.4,31.1,44.0,2024
Peddapalli,May,26.91,21.8,40.0,2015
Suryapet,March,15.86,25.2,55.0,2024
Siddipet,June,117.86,43.2,56.0,2020
Sangareddy,January,5.58,37.4,60.0,2017
Mahabubabad,October,91.85,34.9,66.0,2015
Peddapalli,September,137.31,40.0,97.0,2025
Nirmal,June,119.15,41.8,32.0,2022
Mahabubnagar,December,2.73,30.8,100.0,2018
Jogulamba Gadwal,February,6.47,30.7,56.0,2025
Sangareddy,September,138.53,32.5,82.0,2020
Rajanna Sircilla,January,6.13,39.4,34.0,2025
Sangareddy,November,18.52,43.6,22.0,2017
Mancherial,December,5.49,38.1,27.0,2016
Kamareddy,April,16.09,24.6,34.0,2019
Mancherial,June,115.93,17.8,20.0,2023
Mulugu,March,12.69,36.7,88.0,2017
Wanaparthy,March,18.89,22.9,76.0,2015
Kamareddy,January,10.92,30.0,53.0,2017
Mancherial,July,194.46,24.7,23.0,2020
Wanaparthy,December,6.3,35.1,91.0,2017
Mahabubnagar,December,7.14,36.3,60.0,2019
Wanaparthy,August,190.88,28.8,42.0,2023
Siddipet,January,9.8,33.7,56.0,2021
Kamareddy,September,133.72,38.3,20.0,2025
Mancherial,October,92.0,25.9,37.0,2023
Jagtial,August,190.38,26.9,82.0,2016
Medak,August,192.07,39.2,33.0,2022
Karimnagar,May,31.84,23.8,79.0,2019
Hanamkonda,June,116.25,24.0,41.0,2015
Jogulamba Gadwal,April,15.97,28.1,61.0,2018
Nirmal,March,15.31,15.6,50.0,2021
Jagtial,March,13.11,45.0,25.0,2015
Suryapet,November,16.57,19.0,59.0,2021
Rajanna Sircilla,January,6.37,34.5,79.0,2020
Mancherial,August,194.45,15.7,94.0,2015
Khammam,November,17.14,18.3,88.0,2021
Adilabad,January,9.19,18.5,56.0,2022
Sangareddy,June,119.19,37.7,32.0,2016
Sangareddy,September,140.21,19.0,83.0,2016
Hanamkonda,December,7.54,40.4,55.0,2021
Yadadri Bhuvanagiri,January,8.65,28.6,90.0,2022
Mahabubabad,November,17.36,27.8,76.0,2023
Mancherial,May,29.95,23.4,20.0,2016
Siddipet,March,10.82,25.8,86.0,2019
Sangareddy,July,188.24,38.9,78.0,2022
Medak,June,119.44,21.6,50.0,2016
Wanaparthy,May,31.17,21.3,41.0,2022
Mahabubabad,June,117.05,16.0,25.0,2024
Nagarkurnool,April,19.17,27.5,32.0,2022
Siddipet,July,191.52,40.1,60.0,2020
Adilabad,December,7.33,43.6,26.0,2019
Mulugu,June,116.75,21.2,88.0,2015
Mancherial,August,189.61,39.8,41.0,2019
Khammam,February,3.41,33.2,28.0,2017
Mahabubnagar,March,13.98,21.6,75.0,2015
Khammam,January,10.85,21.8,77.0,2018
Rangareddy,August,192.31,23.3,99.0,2020
Khammam,December,2.04,40.1,48.0,2015
Wanaparthy,September,136.87,40.3,25.0,2015
Medak,November,18.77,36.2,24.0,2019
Vikarabad,June,120.39,32.9,81.0,2016
Kamareddy,October,91.27,31.8,73.0,2016
Rajanna Sircilla,July,192.23,30.7,43.0,2017
Rajanna Sircilla,July,192.45,44.9,55.0,2024
Siddipet,February,10.02,31.8,53.0,2025
Khammam,March,15.59,27.9,37.0,2023
Kumurambheem Asifabad,October,93.48,24.4,77.0,2024
Nalgonda,December,3.87,41.2,37.0,2024
Hyderabad,June,121.51,30.4,61.0,2016
Sangareddy,February,8.72,30.4,35.0,2024
Hyderabad,June,119.35,42.2,32.0,2024
Kumurambheem Asifabad,September,138.84,31.2,43.0,2016
Adilabad,March,14.18,17.9,61.0,2017
Adilabad,January,8.98,42.4,44.0,2021
Suryapet,August,190.07,43.2,24.0,2024
Karimnagar,September,137.19,20.6,47.0,2022
Kumurambheem Asifabad,December,6.5,44.0,48.0,2024
Rangareddy,July,194.61,39.4,61.0,2025
Jogulamba Gadwal,August,190.58,28.0,22.0,2018
Mahabubnagar,January,10.16,42.2,68.0,2019
Hyderabad,March,9.4,38.0,24.0,2016
Wanaparthy,November,18.45,20.1,52.0,2024
Wanaparthy,June,116.42,36.8,84.0,2019
Yadadri Bhuvanagiri,February,5.32,29.6,83.0,2022
Hyderabad,May,34.48,21.2,61.0,2021
Nizamabad,September,135.23,20.1,21.0,2025
Mulugu,September,138.46,26.6,48.0,2015
Jogulamba Gadwal,April,15.82,43.8,85.0,2023
Peddapalli,October,92.0,37.7,23.0,2017
Nagarkurnool,July,192.87,27.1,62.0,2016
Peddapalli,April,15.04,27.6,89.0,2019
Mahabubnagar,October,91.92,38.0,23.0,2024
Jagtial,March,13.55,31.3,88.0,2017
Mahabubabad,June,121.77,18.5,43.0,2016
Jagtial,July,193.54,37.4,23.0,2025
Medak,May,34.2,27.6,90.0,2021
Hanamkonda,June,116.85,43.2,28.0,2019
Mulugu,November,20.27,36.5,71.0,2021
Karimnagar,November,15.21,15.8,45.0,2016
Nalgonda,November,20.48,39.0,35.0,2020
Rangareddy,May,31.85,15.8,20.0,2018
Kamareddy,January,9.88,19.7,83.0,2017
Karimnagar,May,30.94,31.2,81.0,2024
Karimnagar,September,134.23,26.1,63.0,2022
Mahabubnagar,December,4.06,40.8,90.0,2016
Mancherial,April,16.38,31.1,38.0,2020
Suryapet,August,189.23,42.2,55.0,2019
Jagtial,April,14.56,28.6,51.0,2018
Mancherial,June,119.67,37.6,96.0,2023
Khammam,December,8.51,26.3,47.0,2021
Rajanna Sircilla,May,32.55,16.4,40.0,2018
Nirmal,January,10.95,33.1,41.0,2022
Siddipet,November,18.42,17.3,59.0,2016
Kamareddy,October,92.73,39.2,63.0,2015
Nirmal,May,28.57,24.7,35.0,2017
Nalgonda,March,12.04,18.9,98.0,2015
Kumurambheem Asifabad,November,22.72,43.1,91.0,2025
Kamareddy,September,136.97,21.1,31.0,2023
Nagarkurnool,March,14.26,43.4,36.0,2019
Khammam,January,12.01,19.5,59.0,2024
Mulugu,February,7.37,24.6,35.0,2023
Peddapalli,October,91.09,23.1,81.0,2016
Nirmal,November,19.38,34.5,96.0,2022
Mahabubnagar,December,2.43,16.0,83.0,2024
Sangareddy,April,16.84,32.6,30.0,2020
Kumurambheem Asifabad,December,7.47,32.3,67.0,2020
Khammam,August,192.31,23.9,65.0,2024
Mancherial,July,189.52,42.1,54.0,2015
Khammam,May,30.22,38.3,49.0,2017
Siddipet,December,7.58,28.2,33.0,2024
Hanamkonda,June,119.67,31.8,38.0,2015
Kamareddy,February,4.33,41.0,93.0,2024
Adilabad,July,189.95,41.1,24.0,2022
Rajanna Sircilla,May,28.73,43.3,87.0,2020
Khammam,January,8.57,23.0,80.0,2017
Medak,October,91.85,20.6,23.0,2017
Suryapet,September,137.64,29.0,84.0,2024
Mancherial,November,19.51,21.0,23.0,2020
Karimnagar,December,4.81,40.5,38.0,2019
Rajanna Sircilla,November,17.7,42.8,35.0,2019
Kamareddy,September,136.3,41.8,40.0,2021
Mahabubabad,March,18.46,15.8,88.0,2015
Jagtial,January,10.44,20.9,68.0,2015
Vikarabad,August,191.71,38.4,38.0,2024
Yadadri Bhuvanagiri,April,17.05,33.6,82.0,2017
Mahabubabad,April,18.54,28.7,59.0,2020
Vikarabad,March,12.55,27.1,70.0,2024
Mahabubabad,July,187.28,38.1,83.0,2016
Hanamkonda,July,195.24,29.9,47.0,2020
Karimnagar,March,15.72,34.9,83.0,2019
Hyderabad,November,15.8,28.0,20.0,2024
Mahabubnagar,April,18.78,38.5,82.0,2016
Adilabad,January,8.93,27.4,78.0,2020
Kamareddy,August,189.9,27.6,47.0,2024
Mahabubabad,December,5.18,39.4,56.0,2024
Nizamabad,March,16.17,34.4,42.0,2019
Suryapet,January,10.41,34.2,91.0,2024
Kumurambheem Asifabad,October,91.66,21.8,66.0,2020
Bhadradri Kothagudem,May,34.49,21.3,55.5,2021
Narayanpet,January,9.36,20.3,50.4,2022
Jayashankar Bhupalpally,March,13.85,20.3,54.6,2023
Warangal,April,20.85,21.3,60.3,2021
Jangoan,May,29.06,22.4,60.2,2022
Hanumakonda,April,13.54,21.2,59.8,2024
Medchal_Malkajgiri,May,33.74,22.0,60.2,2022
